Date,Item1,Item2
2024-08-15,Watermelon Juice,Muskmelon Juice
2024-08-16,Watermelon Juice,Muskmelon Juice
2024-08-17,Orange Juice,Apple Juice
2024-08-18,Apple Juice,Orange Juice
2024-08-19,Apple Juice,Orange Juice
2024-08-20,Grape Juice,Muskmelon Juice
2024-08-21,Orange Juice,Muskmelon Juice
2024-08-22,Orange Juice,Pineapple Juice
2024-08-23,Muskmelon Juice,Apple Juice
2024-08-24,Orange Juice,Apple Juice
2024-08-25,Muskmelon Juice,Watermelon Juice
2024-08-26,Grape Juice,Watermelon Juice
2024-08-27,Pineapple Juice,Orange Juice
2024-08-28,Watermelon Juice,Orange Juice
2024-08-29,Apple Juice,Watermelon Juice
2024-08-30,Pineapple Juice,Mango Juice
2024-08-31,Grape Juice,Muskmelon Juice
2024-09-01,Orange Juice,Grape Juice
2024-09-02,Pineapple Juice,Grape Juice
2024-09-03,Mango Juice,Muskmelon Juice
2024-09-04,Grape Juice,Orange Juice
2024-09-05,Pineapple Juice,Mango Juice
2024-09-06,Grape Juice,Muskmelon Juice
2024-09-07,Watermelon Juice,Orange Juice
2024-09-08,Pineapple Juice,Grape Juice
2024-09-09,Watermelon Juice,Orange Juice
2024-09-10,Watermelon Juice,Grape Juice
2024-09-11,Grape Juice,Orange Juice
2024-09-12,Watermelon Juice,Orange Juice
2024-09-13,Mango Juice,Grape Juice
